Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,place_id
Ant-Man,2015,420 Jones St. at Ellis St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,,ChIJmQ0U34-AhYARQODKYn8PKzU
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
A View to a Kill,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJw____96GhYARCVVwg5cT7c0
A View to a Kill,1985,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJ0ddkIdiGj4ARdbhmjb_nkhY
A View to a Kill,1985,Potrero Hill,The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJ54Bdzsp_j4AR3JVHIMWEYoA
A View to a Kill,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJY-bqepmAhYARSk9Xg_9tcLI,ChIJx0IToLGAj4ARDZRy0wE53Aw,ChIJk0BNgYKChYAR07s__gj4Mkk,ChIJfW9lsm18j4ARlqMzd3GMyew,ChIJHzlSglOEhYARe0AYeMHI1OU,ChIJD68LHxV-hYARbrsIqUJ5v5U,ChIJad3vsFB8j4AR4n-DSE55y6M,ChIJA5jJW0Z4j4ARIbEdb5Pe8t0,ChIJWcg3frGahYARBqZdudAziLQ,ChIJuRZzQYaahYARaPsRcV6pjUY,ChIJ_____yOBj4ARdytYLUBelnI,ChIJq6oaapl-hYAR-xPtXYFCmBo,ChIJezVrjzJ5hYARrrwGFehstHY,ChIJFwZtiPB7j4ARnNdxTNWXqzE,ChIJqw8_rIuEhYARzrA5ddcrjbY,ChIJV3vgraZ3j4ARMkp7967XN6w,ChIJ87ubltl5j4ARqSpzSfkE93g,ChIJbdxdj_N9j4ARpb2vZRn0b-8,ChIJuVRboWSHj4ARTiAZK_acZY8,ChIJN-eISFV6j4ARzKWY-TOJZlE
A View to a Kill,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJHYqlWIuAhYARrIAPZpIwnyg,ChIJ1f5_4_KAhYAR-rIwsCEGAvk,ChIJm6BaS4uAhYARi-LaAlsZgyk,ChIJ68ne8oiAhYARt5vdctiqVd4,ChIJJQnRePOAhYARP8Zz7luHmQs,ChIJlwPXW4uAhYAR8U_4G0vR7H0,ChIJ4wVJY4uAhYAREGeOHcv17QI,ChIJjdDmlIuAhYAREfuKIKFBXy8,ChIJ-WPOz4yAhYARVe9voIITNN8,ChIJE5sbf7aAj4ARa2xO123Da8U,ChIJ4Vm0jLWAj4AR5HKQtIThMT0,ChIJe74kb4uAhYARyno_PYb1iCQ,ChIJaw4mbfOAhYARdyo5E2MKr6g,ChIJ303NzoqAhYARev_Aqrl5iNw,ChIJVQHYG4uAhYARy5TU756NqIk,ChIJl2i8cLaAj4ARBEcG3N7feI8,ChIJB6z5nIyAhYAR8dqLyVz2N1E,ChIJJ6nevPSAhYARaA2MbiRuBSU,ChIJVQwAj8qAj4AR-FqZbRGG26M,ChIJ4S9lGLSAj4ARSV08RJUm3ak
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin)",,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
A View to a Kill,1985,Van Ness Avenue,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,ChIJX8KElOqAhYARIRQ3YC51TRI
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,EjZKZWZmZXJzb24gU3QgJiBUYXlsb3IgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTMzLCBVU0EiZiJkChQKEgmVXFem44CFgBGBsTpgyGL8BBIUChIJlVxXpuOAhYARgbE6YMhi_AQaFAoSCVuyprLYgIWAEexhkwj5ZbsAGhQKEgnJqpCB7YCFgBGgG70pFtyhMiIKDaYTiRYVf9QItw
About a Boy,2014,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,ChIJVbMlhdyGhYARADaqASKRFVs
About a Boy,2014,Powell from Bush and Sutter,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,ChIJYbEFI4yAhYARxRS_bJIP-Vs,ChIJO0psvY6AhYARW4wjPcTZcdM,ChIJO_U6mI6AhYAR-cWhV1NPZM0,ChIJA-bql46AhYAR03-lTvmOYsM,ChIJqRhcpY6AhYAR50FX-xzpZe0,ChIJIxpgmY6AhYARzJbzEHTnLsQ,ChIJU-IBmY6AhYARYLko-e-Br8o,ChIJBQehrY6AhYARFtrtnFVkrpA,ChIJ537Muo6AhYAR20-a-jpOR1c
After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart,ChIJAQAAQIyAhYARRN3yIQG4hd4
Age of Adaline,2015,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,ChIJlVulH9t_j4AR6J4kA_MVX-8,ChIJ9X1hVNt_j4ARAyx_Za0MbY0,ChIJYQ-cRdt_j4ARFNKupv-urnU,ChIJ_cM7dXN_j4ARkJejKPrh1uo,ChIJ5VH2uMR_j4ARMYYI-5dMGLI
Age of Adaline,2015,California @ Montgomery,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,ChIJZymPTat1gYARyXuN-Q3i8Zw
Age of Adaline,2015,Montgomery/Green,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,ChIJkWG0uYqAhYARKy62eBfIKrA,ChIJVew54GOAhYARf8ttVe2Z8fc,ChIJGx4U8ImAhYARhuEKFJdikXo,ChIJk0w7kTiHhYARc7fyYtM04Rs,ChIJLTKY3ImAhYAR5V02MRJrYUM,ChIJARyK0YmAhYARVlshJ5Gb59k,ChIJZb0fPYqAhYARgC9EwBhbcPo,ChIJJ9Zq3fWAhYAR02PZG_8aDhs,ChIJa0sPwPWAhYARQeQq1uLJYtM,ChIJqyQFH4qAhYAREUEQLjGeVLg
Age of Adaline,2015,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,ChIJb9kf5s5_j4AR8YvvOerFFRY,ChIJK4fjCIV-j4ARhWKGzPT-wrs
Age of Adaline,2015,Plate Shots SF streets various,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,ChIJ7d1kDkN-j4ARLXO5JZwg7NI
Alcatraz,2012,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
Alcatraz,2012,Leavenworth from Filbert & Francisco St,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
Alcatraz,2012,Chestnut St. from Larkin to Columbus,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,ChIJI2F-7i6POIgRCK0nVrn-IPY
Alcatraz,2012,Francisco St from Larkin to Polk,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,ChIJN7-yMZGAhYARK0N0YjOId50,ChIJQZkTQeiAhYARaqJ1q6kUmSA,ChIJJfb6uumAhYARXM8xsJwxYf8,ChIJE2FTTeiAhYARdao7Z9_tN7o,ChIJmezmdpSAhYAR_uM5VRjqhAc,ChIJkV25rZaAhYARoj4Odxd8A5I
Alcatraz,2012,Broadway from Mason to Taylor,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
Alcatraz,2012,Taylor St. from Broadway to Filbert,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
Ant-Man,2015,Broadway between Powell and Davis,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,ChIJ7dtznbWHhYAR81fEwzi58F4
Alexander's Ragtime Band,1938,San Francisco Bay,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,ChIJBwohpl6bj4AREMlJ8U8PlaI
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,ChIJN2S4EI2AhYAR9J4Qeh1U8Aw
All About Eve,1950,Curran Theater (445 Geary Street),Called the Shubert Theatre in the film. ,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,ChIJVVVVVSh-j4AR0SdwqOhpnmY
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd. ,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,ChIJiVY2rYeAhYARJ90OnmrJw24,ChIJi3rKmpaAhYARrfI3b0MrMZs
American Graffiti,1973,3355 Geary Blvd.,,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,ChIJPx7-MzaHhYARIO2T7xzDCJg
American Yearbook,2004,,,All Planet Studios,N/A,Brian Ging,Brian Ging,Nick Tagas,Jon Carlo Alvarez,,None
Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJzxEegbh9j4ARP0YCI473tuo
Americana,2015,Romolo Place @ Fresno St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,EjNGcmVzbm8gU3QgJiBSb21vbG8gUGwsIFNhbiBGcmFuY2lzY28sIENBIDk0MTMzLCBVU0EiZiJkChQKEgkRFIBt9ICFgBHlzXo-z7aX3RIUChIJERSAbfSAhYAR5c16Ps-2l90aFAoSCclFgG30gIWAETAQq02Nak8-GhQKEglVkRlu9ICFgBE_o3uIn2AE8CIKDd2bhxYVI0QKtw
Americana,2015,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJRb6WFtWGhYARLN9EOlXR2JI
Americana,2015,John Shelley Drive John McLaren Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,ChIJoQdDGOx-j4AR3ccU2hT0_4w
